datetime,datetime_nano,highest,last_price,lowest,open_interest,volume,amount,ask_price1,ask_volume1,ask_price2,ask_volume2,ask_price3,ask_volume3,ask_price4,ask_volume4,ask_price5,ask_volume5,bid_price1,bid_volume1,bid_price2,bid_volume2,bid_price3,bid_volume3,bid_price4,bid_volume4,bid_price5,bid_volume5
2023-04-27 20:55:59.0,1682600159000000000,,,,4461.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2023-04-27 20:59:00.0,1682600340000000000,,,,4461.0,0.0,0.0,630.0,1.0,,0.0,,0.0,,0.0,,0.0,132.0,1.0,102.0,4.0,88.0,6.0,66.0,2.0,51.0,20.0
2023-04-27 21:00:00.0,1682600400000000000,,,,4461.0,0.0,0.0,630.0,1.0,,0.0,,0.0,,0.0,,0.0,457.0,1.0,132.0,1.0,102.0,4.0,88.0,6.0,66.0,2.0
2023-04-27 21:00:00.25,1682600400250000000,,,,4461.0,0.0,0.0,596.0,24.0,628.5,1.0,629.5,10.0,630.0,1.0,,0.0,458.5,1.0,457.5,10.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:01.5,1682600401500000000,,,,4461.0,0.0,0.0,595.5,10.0,596.0,24.0,628.5,1.0,630.0,1.0,,0.0,459.0,10.0,458.5,1.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:02.0,1682600402000000000,,,,4461.0,0.0,0.0,595.5,10.0,596.0,24.0,630.0,1.0,,0.0,,0.0,459.0,10.0,458.5,1.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:02.75,1682600402750000000,,,,4461.0,0.0,0.0,595.5,10.0,596.0,24.0,630.0,1.0,,0.0,,0.0,459.0,10.0,457.0,1.0,400.5,24.0,132.0,1.0,102.0,4.0
2023-04-27 21:00:03.25,1682600403250000000,,,,4461.0,0.0,0.0,592.5,10.0,595.5,10.0,596.0,24.0,630.0,1.0,,0.0,462.0,10.0,459.0,10.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:03.5,1682600403500000000,,,,4461.0,0.0,0.0,567.5,24.0,592.5,10.0,595.5,10.0,630.0,1.0,,0.0,462.0,10.0,459.0,10.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:04.0,1682600404000000000,,,,4461.0,0.0,0.0,567.5,24.0,592.0,10.0,592.5,10.0,630.0,1.0,,0.0,462.5,10.0,462.0,10.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:04.25,1682600404250000000,,,,4461.0,0.0,0.0,567.5,24.0,592.0,10.0,630.0,1.0,,0.0,,0.0,462.5,10.0,462.0,10.0,457.0,1.0,400.5,24.0,132.0,1.0
2023-04-27 21:00:04.5,1682600404500000000,,,,4461.0,0.0,0.0,567.0,20.0,567.5,24.0,630.0,1.0,,0.0,,0.0,496.0,24.0,463.5,1.0,463.0,10.0,462.5,10.0,457.0,1.0
2023-04-27 21:00:04.75,1682600404750000000,,,,4461.0,0.0,0.0,564.5,10.0,567.0,20.0,567.5,24.0,630.0,1.0,,0.0,496.0,24.0,463.5,1.0,463.0,10.0,462.5,10.0,457.0,1.0
2023-04-27 21:00:05.0,1682600405000000000,,,,4461.0,0.0,0.0,564.5,10.0,567.0,20.0,567.5,24.0,630.0,1.0,,0.0,496.0,24.0,463.5,1.0,462.5,10.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:05.25,1682600405250000000,,,,4461.0,0.0,0.0,564.0,10.0,567.5,24.0,630.0,1.0,,0.0,,0.0,499.0,10.0,496.5,20.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:05.5,1682600405500000000,,,,4461.0,0.0,0.0,561.5,10.0,563.5,10.0,564.0,10.0,567.5,24.0,630.0,1.0,496.5,10.0,496.0,24.0,457.0,1.0,132.0,1.0,102.0,4.0
2023-04-27 21:00:05.75,1682600405750000000,,,,4461.0,0.0,0.0,567.0,10.0,567.5,24.0,630.0,1.0,,0.0,,0.0,502.0,10.0,499.5,10.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:06.0,1682600406000000000,,,,4461.0,0.0,0.0,558.5,10.0,561.0,10.0,566.5,10.0,567.5,24.0,630.0,1.0,502.5,10.0,502.0,10.0,497.0,10.0,496.0,24.0,457.0,1.0
2023-04-27 21:00:06.25,1682600406250000000,,,,4461.0,0.0,0.0,561.0,10.0,567.5,24.0,630.0,1.0,,0.0,,0.0,502.5,10.0,497.0,10.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:06.5,1682600406500000000,,,,4461.0,0.0,0.0,560.5,10.0,561.0,10.0,567.5,24.0,630.0,1.0,,0.0,502.5,10.0,497.0,10.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:07.5,1682600407500000000,,,,4461.0,0.0,0.0,560.0,10.0,560.5,10.0,567.5,24.0,630.0,1.0,,0.0,502.5,10.0,499.5,10.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:07.75,1682600407750000000,,,,4461.0,0.0,0.0,560.0,10.0,567.5,24.0,630.0,1.0,,0.0,,0.0,499.5,10.0,496.0,24.0,457.0,1.0,132.0,1.0,102.0,4.0
2023-04-27 21:00:08.5,1682600408500000000,,,,4461.0,0.0,0.0,523.5,10.0,560.0,10.0,567.5,24.0,630.0,1.0,,0.0,499.5,10.0,496.0,34.0,457.0,1.0,132.0,1.0,102.0,4.0
2023-04-27 21:00:08.75,1682600408750000000,,,,4461.0,0.0,0.0,522.5,10.0,538.0,10.0,567.5,24.0,630.0,1.0,,0.0,496.5,10.0,496.0,34.0,457.0,1.0,132.0,1.0,102.0,4.0
2023-04-27 21:00:09.0,1682600409000000000,,,,4461.0,0.0,0.0,522.5,10.0,535.0,10.0,538.0,10.0,567.5,24.0,630.0,1.0,499.5,10.0,496.5,10.0,496.0,34.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:09.25,1682600409250000000,,,,4461.0,0.0,0.0,535.0,10.0,551.0,10.0,567.5,24.0,630.0,1.0,,0.0,499.5,20.0,496.5,10.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:09.5,1682600409500000000,,,,4461.0,0.0,0.0,535.0,10.0,551.0,10.0,567.5,24.0,630.0,1.0,,0.0,499.5,10.0,496.5,10.0,496.0,24.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:10.25,1682600410250000000,,,,4461.0,0.0,0.0,535.0,10.0,551.0,10.0,630.0,1.0,,0.0,,0.0,499.5,10.0,496.5,10.0,457.0,1.0,132.0,1.0,118.5,1.0
2023-04-27 21:00:10.5,1682600410500000000,,,,4461.0,0.0,0.0,535.0,10.0,551.0,10.0,630.0,1.0,,0.0,,0.0,500.0,10.0,499.5,10.0,496.5,10.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:10.75,1682600410750000000,,,,4461.0,0.0,0.0,535.0,10.0,551.0,10.0,630.0,1.0,,0.0,,0.0,503.0,10.0,496.5,10.0,457.0,1.0,132.0,1.0,118.5,1.0
2023-04-27 21:00:11.5,1682600411500000000,,,,4461.0,0.0,0.0,535.0,10.0,550.5,11.0,551.0,10.0,630.0,1.0,,0.0,499.5,10.0,496.5,10.0,486.0,11.0,457.0,1.0,132.0,1.0
2023-04-27 21:00:16.0,1682600416000000000,,,,4461.0,0.0,0.0,535.0,10.0,550.5,11.0,551.0,10.0,630.0,1.0,,0.0,499.0,10.0,496.5,10.0,486.0,11.0,457.0,1.0,132.0,1.0
