datetime,datetime_nano,highest,last_price,lowest,open_interest,volume,amount,ask_price1,ask_volume1,ask_price2,ask_volume2,ask_price3,ask_volume3,ask_price4,ask_volume4,ask_price5,ask_volume5,bid_price1,bid_volume1,bid_price2,bid_volume2,bid_price3,bid_volume3,bid_price4,bid_volume4,bid_price5,bid_volume5
2023-04-27 20:55:57.25,1682600157250000000,,,,49221.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2023-04-27 20:59:00.0,1682600340000000000,,,,49221.0,0.0,0.0,6.0,110.0,6.5,62.0,7.0,73.0,7.5,11.0,8.0,108.0,5.0,30.0,4.5,232.0,4.0,622.0,3.5,202.0,3.0,24.0
2023-04-27 21:00:01.25,1682600401250000000,,,,49221.0,0.0,0.0,6.0,110.0,6.5,62.0,7.0,73.0,7.5,11.0,8.0,132.0,5.0,30.0,4.5,232.0,4.0,622.0,3.5,202.0,3.0,24.0
2023-04-27 21:00:01.5,1682600401500000000,,,,49221.0,0.0,0.0,6.0,110.0,6.5,62.0,7.0,73.0,7.5,11.0,8.0,132.0,5.0,30.0,4.5,233.0,4.0,622.0,3.5,202.0,3.0,24.0
2023-04-27 21:00:03.25,1682600403250000000,,,,49221.0,0.0,0.0,6.0,110.0,6.5,62.0,7.0,73.0,7.5,11.0,8.0,132.0,5.0,30.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0
2023-04-27 21:00:04.25,1682600404250000000,5.0,5.0,5.0,49221.0,30.0,1500.0,5.0,50.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:04.5,1682600404500000000,5.0,5.0,5.0,49221.0,30.0,1500.0,5.0,50.0,5.5,20.0,6.0,110.0,6.5,87.0,7.0,73.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:04.75,1682600404750000000,5.0,5.0,5.0,49221.0,30.0,1500.0,5.0,50.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:05.0,1682600405000000000,5.0,5.0,5.0,49221.0,30.0,1500.0,5.0,50.0,5.5,20.0,6.0,110.0,6.5,87.0,7.0,73.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:05.25,1682600405250000000,5.0,5.0,5.0,49221.0,30.0,1500.0,5.0,50.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:05.75,1682600405750000000,5.0,5.0,5.0,49221.0,32.0,1600.0,5.0,48.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:06.0,1682600406000000000,5.0,5.0,5.0,49221.0,38.0,1900.0,5.0,42.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:06.25,1682600406250000000,5.0,5.0,5.0,49221.0,49.0,2450.0,5.0,31.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:06.75,1682600406750000000,5.0,5.0,5.0,49221.0,53.0,2650.0,5.0,27.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,24.0,2.5,518.0
2023-04-27 21:00:08.25,1682600408250000000,5.0,5.0,5.0,49221.0,53.0,2650.0,5.0,27.0,6.0,110.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,233.0,4.0,722.0,3.5,202.0,3.0,54.0,2.5,518.0
2023-04-27 21:00:08.5,1682600408500000000,5.0,5.0,5.0,49221.0,53.0,2650.0,5.0,27.0,6.0,128.0,6.5,87.0,7.0,73.0,7.5,11.0,4.5,251.0,4.0,722.0,3.5,202.0,3.0,54.0,2.5,518.0
2023-04-27 21:00:08.75,1682600408750000000,5.0,5.0,5.0,49221.0,53.0,2650.0,5.0,27.0,5.5,20.0,6.0,128.0,6.5,87.0,7.0,73.0,4.5,251.0,4.0,722.0,3.5,202.0,3.0,54.0,2.5,518.0
