datetime,datetime_nano,highest,last_price,lowest,open_interest,volume,amount,ask_price1,ask_volume1,ask_price2,ask_volume2,ask_price3,ask_volume3,ask_price4,ask_volume4,ask_price5,ask_volume5,bid_price1,bid_volume1,bid_price2,bid_volume2,bid_price3,bid_volume3,bid_price4,bid_volume4,bid_price5,bid_volume5
2023-04-27 20:55:58.0,1682600158000000000,,,,366.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
2023-04-27 20:59:00.0,1682600340000000000,,,,366.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,139.0,1.0,91.0,6.0,66.0,2.0,51.0,10.0,50.0,1.0
2023-04-27 21:00:00.25,1682600400250000000,,,,366.0,0.0,0.0,1015.0,10.0,,0.0,,0.0,,0.0,,0.0,139.5,10.0,139.0,1.0,91.0,6.0,66.0,2.0,51.0,10.0
2023-04-27 21:00:00.5,1682600400500000000,,,,366.0,0.0,0.0,1015.0,10.0,,0.0,,0.0,,0.0,,0.0,147.0,2.0,139.5,10.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:01.75,1682600401750000000,,,,366.0,0.0,0.0,1015.0,10.0,,0.0,,0.0,,0.0,,0.0,147.5,10.0,147.0,2.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:02.0,1682600402000000000,,,,366.0,0.0,0.0,1013.5,1.0,1015.0,10.0,,0.0,,0.0,,0.0,148.5,1.0,147.5,10.0,147.0,2.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:03.0,1682600403000000000,,,,366.0,0.0,0.0,1013.0,10.0,1013.5,1.0,,0.0,,0.0,,0.0,149.0,10.0,148.5,1.0,147.0,2.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:03.25,1682600403250000000,,,,366.0,0.0,0.0,1010.5,10.0,1013.0,10.0,1013.5,1.0,,0.0,,0.0,151.5,10.0,149.0,10.0,148.5,1.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:04.0,1682600404000000000,,,,366.0,0.0,0.0,1010.0,10.0,1010.5,10.0,,0.0,,0.0,,0.0,152.0,10.0,151.5,10.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:04.25,1682600404250000000,,,,366.0,0.0,0.0,1010.0,10.0,1010.5,10.0,,0.0,,0.0,,0.0,152.0,10.0,151.5,10.0,149.5,2.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:04.5,1682600404500000000,,,,366.0,0.0,0.0,1009.0,1.0,1009.5,10.0,1010.0,10.0,,0.0,,0.0,153.0,1.0,152.5,10.0,152.0,10.0,149.5,2.0,139.0,1.0
2023-04-27 21:00:05.0,1682600405000000000,,,,366.0,0.0,0.0,1009.0,1.0,1010.0,10.0,,0.0,,0.0,,0.0,153.0,1.0,152.0,10.0,149.5,2.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:05.25,1682600405250000000,,,,366.0,0.0,0.0,1008.5,20.0,1009.0,1.0,,0.0,,0.0,,0.0,153.5,20.0,153.0,1.0,149.5,2.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:05.5,1682600405500000000,,,,366.0,0.0,0.0,533.0,16.0,1008.5,20.0,1009.0,1.0,,0.0,,0.0,253.5,16.0,153.5,20.0,153.0,1.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:05.75,1682600405750000000,,,,366.0,0.0,0.0,533.0,16.0,1008.0,10.0,1009.0,1.0,,0.0,,0.0,253.5,16.0,154.0,10.0,153.0,1.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:06.0,1682600406000000000,,,,366.0,0.0,0.0,532.5,20.0,533.0,16.0,,0.0,,0.0,,0.0,254.0,20.0,253.5,16.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:06.25,1682600406250000000,,,,366.0,0.0,0.0,532.0,10.0,532.5,10.0,533.0,16.0,,0.0,,0.0,254.5,10.0,254.0,10.0,253.5,16.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:06.5,1682600406500000000,,,,366.0,0.0,0.0,532.0,10.0,533.0,16.0,,0.0,,0.0,,0.0,254.5,10.0,253.5,16.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:06.75,1682600406750000000,,,,366.0,0.0,0.0,530.5,1.0,531.5,10.0,532.0,10.0,533.0,16.0,,0.0,288.5,16.0,256.0,1.0,255.0,10.0,254.5,10.0,139.0,1.0
2023-04-27 21:00:07.0,1682600407000000000,,,,366.0,0.0,0.0,530.5,1.0,532.0,10.0,533.0,16.0,,0.0,,0.0,288.5,16.0,256.0,1.0,254.5,10.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:07.25,1682600407250000000,,,,366.0,0.0,0.0,530.0,10.0,530.5,1.0,533.0,16.0,,0.0,,0.0,289.0,20.0,288.5,16.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:07.5,1682600407500000000,,,,366.0,0.0,0.0,530.0,20.0,530.5,1.0,533.0,16.0,,0.0,,0.0,289.5,10.0,289.0,10.0,288.5,16.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:07.75,1682600407750000000,,,,366.0,0.0,0.0,496.0,16.0,529.5,10.0,530.0,10.0,,0.0,,0.0,323.5,16.0,289.5,10.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:08.0,1682600408000000000,,,,366.0,0.0,0.0,495.5,10.0,496.0,16.0,,0.0,,0.0,,0.0,324.0,10.0,323.5,16.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:08.75,1682600408750000000,,,,366.0,0.0,0.0,494.0,1.0,495.5,10.0,496.0,16.0,,0.0,,0.0,324.0,10.0,323.5,16.0,139.0,1.0,91.0,6.0,66.0,2.0
2023-04-27 21:00:09.0,1682600409000000000,,,,366.0,0.0,0.0,461.5,16.0,491.0,10.0,494.0,1.0,495.5,10.0,,0.0,358.0,16.0,327.0,10.0,324.0,10.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:09.25,1682600409250000000,,,,366.0,0.0,0.0,458.5,10.0,461.0,20.0,461.5,16.0,,0.0,,0.0,361.0,10.0,358.5,20.0,358.0,16.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:09.5,1682600409500000000,,,,366.0,0.0,0.0,458.0,10.0,458.5,10.0,461.5,16.0,,0.0,,0.0,380.5,16.0,361.5,10.0,361.0,10.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:09.75,1682600409750000000,,,,366.0,0.0,0.0,457.5,10.0,458.0,10.0,458.5,10.0,461.5,16.0,,0.0,380.5,16.0,371.5,10.0,361.0,10.0,139.0,1.0,91.0,6.0
2023-04-27 21:00:10.0,1682600410000000000,,,,366.0,0.0,0.0,423.5,16.0,457.0,10.0,457.5,10.0,458.5,10.0,,0.0,380.5,16.0,374.5,10.0,370.5,10.0,139.0,1.0,91.0,6.0
